VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
stony coral (branching),Madrepora oculata,oculata,10,NA,-999,NA,-999,"Kinmei Seamount, NE Of Midway",1982,35.2867,171.435
stony coral (branching),Madrepora oculata,oculata,2,NA,-999,NA,-999,"Kinmei Seamount, NE Of Midway",1982,35.2867,171.435
stony coral (branching),Madrepora oculata,oculata,10,NA,-999,NA,-999,Emperor Seamounts; Koko Seamount,1982,35.2867,171.435
stony coral (branching),Madrepora oculata,oculata,2,NA,-999,NA,-999,Emperor Seamounts; Koko Seamount,1982,35.2867,171.435
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.535,-154.80667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.535,-154.80667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.535,-154.80667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.83333,-155
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.535,-154.80667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.52167,-154.8
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Kalohi Pt",1982,19.61333,-154.935
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.98167,-157.33833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.52,-154.805
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.05,-156.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.97167,-157.38833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.04667,-157.675
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.97167,-157.38833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.96333,-157.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.97167,-157.38833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.97167,-157.38833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.05,-156.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.97167,-157.38833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.52167,-154.8
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.77833,-155.00833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.05,-156.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.04667,-156.48
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.80833,-154.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.83333,-155
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.54,-154.81
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.80833,-154.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.53333,-154.80667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.54,-154.81
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.04667,-156.48
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.05,-156.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.53833,-154.80833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.53833,-154.80833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.83333,-155
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.80833,-154.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.53833,-154.80833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1982,19.535,-154.80667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.05,-156.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.96333,-157.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Hawaii Island, Hilo Bay",1982,19.83333,-155
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.04667,-156.48
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.04667,-156.48
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.94167,-157.50167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.04667,-156.48
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.05,-156.47833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.00833,-157.31667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,20.94167,-157.50167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1982,21.02,-157.275
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999,"Main Hawaiian Islands; Maui Island, Kahului Bay",1982,21.04667,-156.48
