VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.57167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.31,-157.54667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67,-169.39333
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.31,-157.54667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67667,-169.48
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.31833,-157.555
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.70833,-169.335
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.31167,-157.565
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.31167,-157.565
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.57167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.31167,-157.565
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.56833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kona",1983,19.78667,-156.10167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.745,-169.54667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67,-169.51667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.30833,-157.56167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.405
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1983,21.30833,-157.56167
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.56833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Mamala Bay",1983,21.25667,-158.02
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69,-169.39333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.72,-169.36333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67667,-169.48
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.74667,-169.38833
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67667,-169.48
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.74667,-169.38833
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67667,-169.48
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.74667,-169.38833
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.745,-169.54667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.70833,-169.335
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69,-169.415
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.405
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67333,-169.51833
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67667,-169.48
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.405
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.405
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.405
lace coral,Distichopora violacea,violacea,1,NA,-999,NA,-999.0,Johnston Atoll,1983,16.6867,-169.405
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.405
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.45167
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.68667,-169.45167
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.74667,-169.38833
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.57167
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69,-169.39333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,2,NA,-999,NA,-999.0,Johnston Atoll,1983,16.6867,-169.4517
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69,-169.39333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.67167,-169.51667
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.70833,-169.335
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.71,-169.48333
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.57167
lace coral,Distichopora violacea,violacea,-999,NA,-999,Live,-999.0,Johnston Atoll,1983,16.69167,-169.57167
stony coral (cup coral),Endopachys grayi,grayi,10,NA,-999,NA,-999.0,"Main Hawaiian Islands; Oahu Island, Mamala Bay",1983,21.2733,-158.0167
