VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude,LocationAccuracy,SurveyID,EventID,SamplingEquipment,DataProvider,RecordType,Repository,SampleID
,,,,,,,,,,degrees_north,degrees_east,,,,,,,,
black coral,Stichopathes paucispina,paucispina,1,NA,-999,Live,-999.0,Opal Seamount,1984,30.5,-121.9133,NA,NA,NA,NA,"Smithsonian Institution, National Museum of Natural History",specimen,"National Museum of Natural History, Smithsonian Institution, Washington D.C.",USNM 82988
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Kokohead",1984,21.24,-157.71333,>1000m,NA,M-284,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-284-s2-004a
black coral,Stichopathes sp.,NA,5,NA,-999,Live,-999.0,Jasper Seamount,1984,30.42,-122.75,NA,NA,NA,dredge,"Smithsonian Institution, National Museum of Natural History",specimen,"National Museum of Natural History, Smithsonian Institution, Washington D.C.",USNM 83561
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Bank 66,1984,23.89333,-165.83333,>1000m,NA,M-273,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-273-s1-008a
black coral,Stichopathes spiessi,spiessi,1,NA,-999,Live,-999.0,Jasper Seamount,1984,30.42,-122.75,NA,Mag Bay Expedition,NA,NA,"Smithsonian Institution, National Museum of Natural History",specimen,"National Museum of Natural History, Smithsonian Institution, Washington D.C.",USNM 82983
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Baby Brooks Bank,1984,23.95,-166.695,>1000m,NA,M-268,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-268-s2-011d
black coral,Stichopathes spiessi,spiessi,3,NA,-999,Live,-999.0,Jasper Seamount,1984,30.42,-122.75,NA,NA,NA,NA,"Smithsonian Institution, National Museum of Natural History",specimen,"National Museum of Natural History, Smithsonian Institution, Washington D.C.",USNM 82986
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1984,21.15333,-157.54667,>1000m,NA,M-283,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-283-s2-001b
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Makapuu Pt",1984,21.345,-157.63,>1000m,NA,M-211,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-211-s1-011a
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Bank 66,1984,23.89333,-165.83333,>1000m,NA,M-273,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-273-s1-009
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.54667,-154.84333,>1000m,NA,M-225,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-225-s1-002c
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1984,21.03833,-157.31,>1000m,NA,M-286,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-286-s2-002b
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Cape Kumukahi",1984,19.54,-154.82167,>1000m,NA,M-227,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-227-s2-005a
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,Northwestern Hawaiian Islands; Bank 66,1984,23.89333,-165.83333,>1000m,NA,M-273,submersible,Hawaii Undersea Research Laboratory,video observation,"Hawaii Undersea Research Laboratory, University of Hawaii",M-273-s1-007b
