VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
stony coral (branching),Madrepora oculata,oculata,8,NA,-999,NA,-999.0,"Sulu Sea, Cuyo Islands, Canipo Island, NW Of",1985,11.8283,121.687
stony coral (branching),Madrepora oculata,oculata,2,NA,-999,NA,-999.0,"Mindoro Island, Sablayan, Approx. 100 Km East Of",1985,13.8767,120.493
stony coral (branching),Madrepora oculata,oculata,3,NA,-999,NA,-999.0,"Mindoro Strait, Semirara Islands, Approx. 25 Km South Of Ambulong Island",1985,12.3333,121.693
stony coral (branching),Madrepora oculata,oculata,1,NA,-999,NA,-999.0,"Panay Island, Bugasong, SE Of",1985,11.8817,122.245
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.13333,-157.575
black coral,Stichopathes sp.,NA,1,NA,-999,Live,-999.0,Mid-Pacific Mountains,1985,14.465,-169.0172
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.00833,-157.34667
black coral,Stichopathes cf. abyssicola,abyssicola,1,NA,-999,Live,-999.0,Mid-Pacific Mountains,1985,14.4581,-169.0028
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kona",1985,19.61167,-156.02333
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.54167,-155.99833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kona",1985,19.61167,-156.02333
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.54167,-155.99833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.54167,-155.99833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Oahu Island, Kokohead",1985,21.24333,-157.70833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.56667,-156.005
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.13333,-157.575
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.00833,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kona",1985,19.61167,-156.02333
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Honokohau",1985,19.65,-156.03667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.50667,-155.985
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.00833,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.125,-157.57833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, 1949 Kaapuna flow",1985,19.27667,-155.9
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, 1949 Kaapuna flow",1985,19.27667,-155.9
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.50667,-155.985
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.49,-155.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.47,-155.96667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.47,-155.96667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.49,-155.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.49,-155.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.49,-155.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.49,-155.975
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Maui Island, Kaupo",1985,20.625,-156.12
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.01,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Honokohau",1985,19.68333,-156.045
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Maui Island, Kaupo",1985,20.625,-156.12
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Maui Island, Kaupo",1985,20.625,-156.12
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.01,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.00833,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.125,-157.57833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.00833,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.01,-157.34667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.125,-157.57833
black coral,Cirrhipathes cf. anguina,NA,1,NA,-999,Live,-999.0,"Ryukyu Islands, Okinawa Island, Bolo Point, 200 M West of Zampa-Misaki",1985,26.435,127.713
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99333
stony coral (cup coral),Deltocyathus andamanicus,andamanicus,18,NA,-999,NA,-999.0,"Cuyo Islands, Canipo Island, NW Of",1985,11.6117,121.725
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.47,-155.96667
stony coral (cup coral),Letepsammia formosissima,formosissima,1,NA,-999,NA,-999.0,"Lubang Island, NE Of",1985,14.0033,120.32
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.47,-155.96667
stony coral (cup coral),Letepsammia formosissima,formosissima,9,NA,-999,Live,-999.0,"Lubang Island, NE Of",1985,14.0033,120.32
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.54167,-155.99833
stony coral (cup coral),Letepsammia formosissima,formosissima,2,NA,-999,NA,-999.0,"Lubang Island, North Of",1985,14.0183,120.298
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kaiwa Pt",1985,19.65667,-156.03833
stony coral (cup coral),Letepsammia formosissima,formosissima,13,NA,-999,Live,-999.0,"Lubang Island, NE Of",1985,14.0167,120.325
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, 1949 Kaapuna flow",1985,19.27667,-155.9
stony coral (cup coral),Deltocyathoides orientalis,orientalis,5,NA,-999,NA,-999.0,"Panay Island, Bugasong, SE Of",1985,11.8817,122.245
stony coral (branching),Eguchipsammia fistula,fistula,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99333
stony coral (cup coral),Letepsammia formosissima,formosissima,4,NA,-999,Live,-999.0,"Lubang Island, NE Of",1985,14.01,120.327
stony coral (branching),Eguchipsammia fistula,fistula,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99333
stony coral (cup coral),Letepsammia formosissima,formosissima,14,NA,-999,Live,-999.0,"Lubang Island, NE Of",1985,14.0,120.293
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.47,-155.96667
stony coral (cup coral),Letepsammia formosissima,formosissima,16,NA,-999,NA,-999.0,"Lubang Island, NE Of",1985,14.0117,120.313
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Honokohau",1985,19.65,-156.03667
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,56.39275,-153.80225
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99167
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,51.505,-176.94333
stony coral (branching),Eguchipsammia fistula,fistula,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99167
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,51.23584,179.19666
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99333
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,51.95334,176.725
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kaiwa Pt",1985,19.65667,-156.03833
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,51.98,176.88333
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, 1949 Kaapuna flow",1985,19.27667,-155.9
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,52.1975,173.705
stony coral (branching),Eguchipsammia fistula,fistula,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Maui Island, Kaupo",1985,20.625,-156.12
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,52.42916,173.02667
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Honokohau",1985,19.68333,-156.045
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,57.77833,-149.91416
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keahole Pt",1985,19.74,-156.075
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,57.7125,-149.71417
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.47,-155.96667
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,51.77166,-175.47708
stony coral (cup coral),Javania insignis,insignis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1985,21.125,-157.57833
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,3.3,NA,1985,56.99383,-159.703
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.49,-155.975
stony coral (cup coral),Deltocyathoides orientalis,orientalis,1,NA,-999,NA,-999.0,"Lubang Island, NE Of",1985,14.0133,120.297
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keauhou",1985,19.57167,-155.99333
stony coral (cup coral),Letepsammia formosissima,formosissima,17,NA,-999,NA,-999.0,"Lubang Island, North Of",1985,14.0033,120.293
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kealakekua Bay",1985,19.50667,-155.985
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1985,52.55083,-179.47083
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Kawaihae",1985,20.05667,-155.85333
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,3.3,NA,1985,57.00683,-159.70758
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Maui Island, Kaupo",1985,20.625,-156.12
