VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
stony coral (branching),Madrepora oculata,oculata,1,NA,-999,NA,-999.0,Genovesa Island,1986,0.2831,-89.9967
stony coral (branching),Madrepora oculata,oculata,5,NA,-999,Live,-999.0,Seamount Between Marchena And Santiago Ids.,1986,0.0653,-90.32
stony coral (branching),Madrepora oculata,oculata,2,NA,-999,NA,-999.0,"Roca Redonda, NW Of Isabela Island",1986,0.2447,-91.6089
stony coral (branching),Madrepora oculata,oculata,3,NA,-999,Live,-999.0,"Roca Redonda, NW Of Isabela Island",1986,0.2447,-91.6089
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1986,21.05,-157.68333
black coral,Stichopathes euoplos,euoplos,1,NA,-999,Live,-999.0,"Genovesa Island, Off Darwin Bay",1986,0.2828,-89.995
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1986,21.045,-157.32
black coral,Stichopathes euoplos,euoplos,1,NA,-999,Live,-999.0,Cocos Island,1986,5.5783,-87.0708
black coral,Stichopathes sp.,NA,6,NA,-999,Live,-999.0,Fieberling Guyot,1986,32.4297,-127.79
black coral,Stichopathes spiessi,spiessi,2,NA,-999,Live,5.7,Fieberling Guyot,1986,32.4297,-127.79
black coral,Stichopathes spiessi,spiessi,1,NA,-999,Live,-999.0,"Jasper Seamount, Peak C",1986,30.42583,-122.73333
black coral,Stichopathes spiessi,spiessi,1,NA,-999,Live,-999.0,"Jasper Seamount, Peak B",1986,30.4425,-122.72833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keahole Pt",1986,19.71667,-156.06667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1986,21.03833,-157.31833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1986,21.03833,-157.31833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1986,21.13667,-157.56
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1986,21.13667,-157.56
stony coral (cup coral),Javania cailleti,cailleti,2,NA,-999,NA,-999.0,Cocos Island,1986,5.4681,-87.0656
stony coral (cup coral),Javania cailleti,cailleti,6,NA,-999,NA,-999.0,Seamount Between Marchena And Santiago Ids.,1986,0.0653,-90.32
stony coral (cup coral),Javania cailleti,cailleti,1,NA,-999,NA,-999.0,Cocos Island,1986,5.5569,-87.1047
stony coral (cup coral),Javania cailleti,cailleti,6,NA,-999,NA,-999.0,Cocos Island,1986,5.4344,-87.1331
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,51.90675,-173.82625
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,5.2,NA,1986,51.9225,-173.70583
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,4.6,NA,1986,52.394,-174.47142
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,5.3,NA,1986,51.26333,179.26166
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,52.5355,172.95792
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,52.06809,177.24825
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,5.4,NA,1986,51.96067,179.81208
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,52.03975,179.92692
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,3.9,NA,1986,51.96766,-179.73367
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,52.33933,-179.83342
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,52.39717,-179.73075
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,48.27175,-125.00508
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,52.9765,-170.05116
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,53.72633,-167.16
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,53.78458,-167.13
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,5.3,NA,1986,57.78075,-153.52375
stony coral (cup coral),Guynia sp.,NA,20,NA,-999,NA,-999.0,"Main Hawaiian Islands; Oahu Island, Haleiwa",1986,21.6133,-158.1933
stony coral (cup coral),Caryophyllia cf. diomedeae,diomedeae,1,NA,-999,NA,-999.0,Cocos Island,1986,5.5767,-87.0708
stony coral (cup coral),Crispatotrochus sp.,NA,2,NA,-999,NA,-999.0,Cocos Island,1986,5.4083,-87.1639
stony coral (cup coral),Endopachys grayi,grayi,6,NA,-999,NA,-999.0,"Main Hawaiian Islands; Oahu Island, Haleiwa",1986,21.6133,-158.1633
stony coral (cup coral),Astrangia sp.,NA,1,NA,-999,NA,-999.0,Perlas Archipelago,1986,8.2333,-79.1597
stony coral (cup coral),Caryophyllia cf. diomedeae,diomedeae,1,NA,-999,NA,-999.0,Cocos Island,1986,5.4083,-87.1639
stony coral (cup coral),Balanophyllia sp.,NA,1,NA,-999,NA,-999.0,"Isabela Island, Moreno Point",1986,0.6792,-91.4003
stony coral (cup coral),Caryophyllia (Caryophyllia) alaskensis,alaskensis,1,NA,-999,Live,-999.0,"Aleutian Islands, Rat Islands, Kiska Island",1986,52.0589,177.3436
stony coral (cup coral),Caryophyllia (Caryophyllia) diomedeae,diomedeae,1,NA,-999,NA,2.3,"Roca Redonda, NW Of Isabela Island",1986,0.2447,-91.6089
stony coral (cup coral),Caryophyllia (Caryophyllia) perculta,perculta,2,NA,-999,NA,-999.0,Cocos Island,1986,5.5794,-87.0606
stony coral (cup coral),Caryophyllia (Caryophyllia) solida,solida,1,NA,-999,NA,-999.0,Equatorial Seamount Between Marchena And Santiago Islands,1986,0.0653,-90.32
stony coral (cup coral),Caryophyllia (Caryophyllia) solida,solida,8,NA,-999,NA,-999.0,Equatorial Seamount Between Marchena And Santiago Islands,1986,0.0653,-90.32
stony coral (cup coral),Balanophyllia (Balanophyllia) galapagensis,galapagensis,3,NA,-999,NA,-999.0,"Isabela Island, Moreno Point",1986,0.6792,-91.4003
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1986,51.89083,-173.739
stony coral (branching),Dendrophyllia johnsoni,johnsoni,5,NA,-999,Live,-999.0,Equatorial Seamount Between Marchena And Santiago Islands,1986,0.0653,-90.32
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.1,Alaska; Bering Sea,1986,57.02658,-159.1225
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.1,Alaska; Bering Sea,1986,59.31917,-174.44634
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.5,Alaska; Aleutian Islands,1986,54.42408,-165.58067
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.0,Alaska; Bering Sea,1986,57.671,-158.3435
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1986,55.21,-161.81916
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Bering Sea,1986,58.31675,-160.16592
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.2,Alaska; Bering Sea,1986,57.66517,-159.6315
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.0,Alaska; Aleutian Islands,1986,52.997,-169.8755
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.0,Alaska; Bering Sea,1986,57.999,-160.22242
