VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
stony coral (cup coral),Flabellum (Flabellum) pavoninum,pavoninum,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Keahole Pt",1987,19.73167,-156.06667
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1987,54.36,-159.84333
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1987,18.71,-158.28167
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,1.0,NA,1987,60.35317,-173.40917
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1987,18.71,-158.28167
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,6.8,NA,1987,59.68892,-145.25867
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1987,18.71,-158.28167
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1987,59.77667,-145.54109
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.6,Alaska; Bering Sea,1987,57.9515,-159.0095
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.9,Alaska; Bering Sea,1987,56.99825,-159.14917
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.24808,-163.4325
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.6,Alaska; Gulf of Alaska,1987,58.78305,-140.84779
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.1,Alaska; Gulf of Alaska,1987,58.67067,-150.129
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,NA,1987,48.35075,-122.84525
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.3,Alaska; Bering Sea,1987,57.17466,-169.30342
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1987,56.025,-162.26166
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.4,Alaska; Gulf of Alaska,1987,58.76767,-150.01866
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,Alaska; Bering Sea,1987,56.8435,-169.26908
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,56.20341,-157.04384
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.2,Alaska; Bering Sea,1987,58.67633,-167.23234
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,Alaska; Bering Sea,1987,56.67159,-168.91208
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,59.50783,-143.38791
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.1,Alaska; Gulf of Alaska,1987,54.34617,-163.654
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.2,Alaska; Bering Sea,1987,56.35192,-168.87342
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.5,Alaska; Bering Sea,1987,60.00267,-168.658
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.9,Alaska; Bering Sea,1987,57.66709,-168.46125
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.17625,-165.7395
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,56.41217,-156.84534
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1987,57.31658,-168.376
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.9,Alaska; Bering Sea,1987,56.99125,-168.34841
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.6,Alaska; Gulf of Alaska,1987,58.72268,-139.51873
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.4,Alaska; Bering Sea,1987,56.33859,-168.26667
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.2,Alaska; Bering Sea,1987,56.36892,-169.47691
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.4,Alaska; Bering Sea,1987,57.69291,-158.31967
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.04467,-163.075
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.0,Alaska; Bering Sea,1987,60.16958,-172.30442
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.2,Alaska; Bering Sea,1987,56.6475,-169.51592
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.4,Alaska; Bering Sea,1987,60.01392,-171.97775
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.8,Alaska; Bering Sea,1987,56.3815,-162.22383
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,56.60117,-156.41025
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.37667,-160.10083
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.7,Alaska; Bering Sea,1987,57.33933,-171.46108
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,Alaska; Bering Sea,1987,56.68325,-171.36275
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.9,Alaska; Gulf of Alaska,1987,54.40167,-159.85416
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.2,Alaska; Bering Sea,1987,56.163,-161.30608
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.4,Alaska; Bering Sea,1987,56.67633,-162.18192
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.36,-159.84333
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-1.0,Alaska; Bering Sea,1987,60.99759,-171.48033
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.6,Alaska; Gulf of Alaska,1987,59.04948,-141.05279
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.57833,-158.91666
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,0.9,Alaska; Bering Sea,1987,59.99833,-173.32658
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.34,-165.38308
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.5,Alaska; Gulf of Alaska,1987,57.18192,-136.25083
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.0,Alaska; Bering Sea,1987,60.35317,-173.40917
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.2,Alaska; Bering Sea,1987,57.033,-172.01683
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,7.0,Alaska; Gulf of Alaska,1987,56.76925,-153.06667
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,7.0,Alaska; Gulf of Alaska,1987,58.87033,-151.6365
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.2,Alaska; Bering Sea,1987,56.00992,-168.20234
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.8,Alaska; Bering Sea,1987,57.99267,-158.32384
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,53.52617,-166.53134
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.22592,-165.47433
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.0,Alaska; Bering Sea,1987,57.67459,-162.12716
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.1,Alaska; Bering Sea,1987,60.52558,-178.76641
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1987,57.36167,-173.34192
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.8,Alaska; Gulf of Alaska,1987,58.10358,-152.44916
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.2,Alaska; Bering Sea,1987,59.34075,-174.44858
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1987,55.99517,-165.17067
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.5,Alaska; Bering Sea,1987,59.06433,-174.38092
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.9,Alaska; Bering Sea,1987,59.096,-174.89517
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.0,Alaska; Bering Sea,1987,58.31009,-162.109
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.4,Alaska; Bering Sea,1987,58.75292,-175.46767
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,55.0145,-159.58275
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,54.10142,-165.45442
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.1,Alaska; Gulf of Alaska,1987,56.71834,-153.27584
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1987,57.33084,-150.31333
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,Alaska; Bering Sea,1987,58.30275,-174.25642
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.7,Alaska; Bering Sea,1987,58.69675,-162.66683
