VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.8333,-156.0833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.8333,-156.0833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1988,18.86667,-155.7
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1988,18.86667,-155.7
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1988,18.86667,-155.7
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1988,18.86667,-155.7
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.8333,-156.0833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.8333,-156.0833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.8333,-156.0833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.8333,-156.0833
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1988,18.86667,-155.7
stony coral (cup coral),Trochocyathus (Trochocyathus) patelliformis,patelliformis,1,NA,-999,NA,-999.0,Main Hawaiian Islands; Alenuihaha Channel,1988,20.5967,-156.0583
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1988,18.65833,-158.29833
stony coral (branching),Enallopsammia rostrata,rostrata,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1988,18.75833,-158.275
stony coral (cup coral),Javania lamprotichum,lamprotichum,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1988,18.715,-158.245
stony coral (branching),Enallopsammia rostrata,rostrata,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Hualalai Slope",1988,19.83333,-156.08333
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Alenuihaha Channel",1988,19.875,-156.165
stony coral (branching),Madracis kauaiensis,kauaiensis,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Alenuihaha Channel",1988,19.875,-156.165
sponge (unspecified),Porifera,NA,2,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,54.26416,-161.13425
sponge (unspecified),Porifera,NA,2,NA,-999,NA,-999.0,Central Gulf of Alaska; Chirikof slope,1988,54.56333,-158.64484
sponge (unspecified),Porifera,NA,2,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,54.44083,-159.30025
sponge (unspecified),Porifera,NA,2,NA,-999,NA,-999.0,Central Gulf of Alaska; Chirikof slope,1988,55.15999,-156.71233
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.6,Alaska; Bering Sea,1988,57.67217,-158.38041
sponge (unspecified),Porifera,NA,2,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,53.1175,-166.93499
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.2,Alaska; Bering Sea,1988,56.6595,-162.17041
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,54.07583,-162.16517
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,10.8,Alaska; Bering Sea,1988,64.4965,-165.80684
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,54.07583,-162.16517
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.7,Alaska; Bering Sea,1988,56.236,-169.40867
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,54.07583,-162.16517
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,Western Gulf of Alaska; Shumagin Slope,1988,54.07583,-162.16517
