VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
stony coral (cup coral),Paracyathus sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.60764,-122.00579
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69321,-122.00478
stony coral (cup coral),Paracyathus sp.,NA,-999,NA,-999,Live,-999.0,NA,1989,36.57513,-121.98169
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69322,-122.00473
stony coral (cup coral),Paracyathus sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69415,-122.00455
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,6,NA,-999,Live,-999.0,Point Arguello,1989,34.68,-123.13
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.6948,-122.00582
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,2,NA,-999,Live,-999.0,off California: Approx. 130 Mile West Of Vandenberg Afb,1989,34.82,-123.12
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69485,-122.00582
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,25,NA,-999,Live,-999.0,Point Arguello,1989,34.8,-123.0
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69524,-122.0039
stony coral (cup coral),Paracyathus sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69573,-122.00301
stony coral (cup coral),Paracyathus sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.9,NA,1989,36.57391,-122.00275
stony coral (cup coral),Paracyathus sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.9,NA,1989,36.57442,-122.00268
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,8.1,NA,1989,36.57523,-122.0022
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57916,-122.00247
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay - off Cypress Point,1989,36.57976,-122.00241
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.5,Monterey Bay,1989,36.69752,-121.99987
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69788,-121.99964
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69788,-121.99975
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.7,Monterey Bay,1989,36.69859,-121.99863
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.7,Monterey Bay,1989,36.69869,-121.99858
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.7,Monterey Bay,1989,36.69872,-121.99864
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.8,Monterey Bay,1989,36.69897,-121.99829
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.8,Monterey Bay,1989,36.69908,-121.99835
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.9,Monterey Bay,1989,36.69936,-121.99726
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.9,Monterey Bay,1989,36.69952,-121.99784
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.9,Monterey Bay,1989,36.69952,-121.9974
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.9,Monterey Bay,1989,36.69956,-121.99716
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.8,Monterey Bay,1989,36.69958,-121.99752
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.5,Monterey Bay,1989,36.69664,-122.00018
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.4,Monterey Bay,1989,36.69679,-122.00033
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.5,Monterey Bay,1989,36.69683,-122.00004
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.5,Monterey Bay,1989,36.69688,-121.9997
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.4,Monterey Bay,1989,36.69699,-122.0003
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.0,Monterey Bay,1989,36.69725,-122.00002
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69737,-122.00008
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69746,-122.00028
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69749,-122.00027
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.698,-121.9999
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69812,-122.00016
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.69822,-121.99973
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.8,Monterey Bay,1989,36.69864,-122.00018
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.8,Monterey Bay,1989,36.69879,-122.00009
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.2,Monterey Bay,1989,36.71855,-121.98924
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1989,36.71865,-121.98898
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1989,36.71867,-121.98909
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1989,36.71868,-121.98912
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.6,Monterey Bay,1989,36.71889,-121.98815
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,8.6,NA,1989,36.53115,-121.93882
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.69297,-122.00452
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,off California,1989,35.32917,-120.91267
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,NA,1989,59.62391,-149.40317
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,NA,-999.0,off Oregon coast,1989,44.44325,-124.95958
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.60721,-122.01393
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1989,36.61229,-122.02704
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,7.3,Monterey Bay,1989,36.61268,-122.02747
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.6078,-122.0139
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.60837,-122.01572
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.60858,-122.01607
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,off Central California,1989,36.10801,-121.67505
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,7.7,off Oregon,1989,44.11775,-124.91116
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.6,Alaska; Bering Sea,1989,57.32308,-158.47083
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.2,Alaska; Bering Sea,1989,57.67167,-158.36092
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1989,44.1275,-125.02175
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1989,58.83667,-149.99875
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.9,Alaska; Bering Sea,1989,57.67191,-159.64233
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.3,Alaska; Bering Sea,1989,57.33275,-159.66708
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.5,Alaska; Bering Sea,1989,57.36192,-159.06083
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.7,Alaska; Bering Sea,1989,57.00817,-159.72875
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off California,1989,35.35209,-120.98175
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Bering Sea,1989,56.67917,-159.75984
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,East Yakutat/Southeast; East Yakutat slope,1989,58.15333,-138.79084
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,East Yakutat/Southeast; Southeast slope,1989,56.03167,-135.535
sponge (unspecified),Porifera,NA,1,NA,-999,NA,-999.0,East Yakutat/Southeast; Southeast slope,1989,56.03167,-135.535
sponge (unspecified),Porifera,NA,2,NA,-999,NA,-999.0,East Yakutat/Southeast; Ommaney Trench,1989,55.96833,-134.91001
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.1,Alaska; Bering Sea,1989,57.65158,-160.2785
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.8,Alaska; Bering Sea,1989,56.99775,-160.95166
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.0,Alaska; Bering Sea,1989,57.32375,-160.30475
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Bering Sea,1989,57.33367,-160.91783
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1989,44.646,-124.87391
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.1,Alaska; Bering Sea,1989,57.69,-160.875
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.9,off Oregon,1989,44.89458,-124.77
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.5,Alaska; Bering Sea,1989,56.68992,-161.58925
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1989,44.32834,-125.08392
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.1,Alaska; Bering Sea,1989,57.327,-161.52458
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1989,59.40917,-147.83033
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1989,59.35875,-147.419
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.0,Alaska; Bering Sea,1989,58.03041,-161.50475
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.8,Alaska; Bering Sea,1989,56.99258,-162.16758
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Washington,1989,47.25958,-122.56292
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.3,Alaska; Bering Sea,1989,56.64908,-162.1815
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.8,Alaska; Bering Sea,1989,56.32892,-162.19008
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Oregon,1989,45.03608,-124.52742
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.6,Alaska; Bering Sea,1989,56.00183,-162.23141
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.5,off Oregon,1989,45.20575,-124.60483
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,Alaska; Gulf of Alaska,1989,59.56041,-148.27008
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.4,Alaska; Bering Sea,1989,55.99916,-163.41125
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.5,Alaska; Bering Sea,1989,56.33067,-163.39667
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.9,Alaska; Bering Sea,1989,55.69342,-163.9865
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.6,Alaska; Bering Sea,1989,56.116,-164.00884
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.7,Alaska; Bering Sea,1989,58.365,-163.99767
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.2,Alaska; Bering Sea,1989,56.0045,-164.581
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,NA,1989,48.96033,-123.01408
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Northern California,1989,38.57941,-123.68967
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.0,Alaska; Gulf of Alaska,1989,57.90167,-152.13183
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,NA,1989,48.3575,-122.85408
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.3,Alaska; Bering Sea,1989,58.35325,-166.55667
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.0,Alaska; Gulf of Alaska,1989,57.31225,-151.58192
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.0,Alaska; Gulf of Alaska,1989,57.32484,-150.80092
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,6.4,Alaska; Gulf of Alaska,1989,57.514,-150.89233
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.2,Alaska; Bering Sea,1989,59.6675,-168.63058
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.0,Alaska; Gulf of Alaska,1989,58.72058,-150.86825
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1989,59.33575,-168.56767
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.2,Alaska; Bering Sea,1989,59.99767,-169.31466
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.0,Alaska; Gulf of Alaska,1989,58.655,-150.94775
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,Alaska; Bering Sea,1989,59.0065,-168.52084
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,5.0,Alaska; Gulf of Alaska,1989,58.68158,-151.13259
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.4,Alaska; Bering Sea,1989,58.6655,-168.49808
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1989,57.3265,-169.00992
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.5,Alaska; Bering Sea,1989,56.33241,-168.25116
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.1,Alaska; Bering Sea,1989,56.68017,-169.49958
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.7,Alaska; Bering Sea,1989,56.83142,-169.89325
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,4.0,Alaska; Bering Sea,1989,56.65008,-171.98483
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.2,Alaska; Bering Sea,1989,58.015,-172.19891
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.7,Alaska; Bering Sea,1989,56.67967,-172.57508
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.5,Alaska; Bering Sea,1989,60.66508,-172.77817
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.5,Alaska; Bering Sea,1989,60.98242,-172.844
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,1.8,Alaska; Bering Sea,1989,60.00092,-173.3025
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.2,Alaska; Bering Sea,1989,60.166,-173.54908
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.5,Alaska; Bering Sea,1989,60.31909,-173.42242
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.0,Alaska; Bering Sea,1989,58.33158,-173.56909
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.0,Alaska; Bering Sea,1989,58.99842,-173.71425
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,3.1,Alaska; Bering Sea,1989,59.34217,-174.364
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,2.7,Alaska; Bering Sea,1989,60.57583,-178.74175
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,off Washington,1989,47.98958,-125.52716
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,NA,1989,48.33483,-124.97008
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,NA,1989,48.40333,-125.34742
sponge (unspecified),Porifera,NA,-999,NA,-999,NA,-999.0,NA,1989,49.40841,-127.12
soft coral,Alcyoniidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.71684,-121.98957
soft coral,Alcyoniidae,NA,-999,NA,-999,Live,7.1,Monterey Bay,1989,36.71676,-121.98948
soft coral,Alcyoniidae,NA,-999,NA,-999,Live,7.0,Monterey Bay,1989,36.71675,-121.98956
soft coral,Alcyoniidae,NA,-999,NA,-999,Live,7.0,Monterey Bay,1989,36.71672,-121.98954
sea pen,Pennatulacea,NA,-999,NA,-999,Live,11.8,NA,1989,36.78016,-121.83073
sea pen,Pennatulacea,NA,-999,NA,-999,NA,3.6,NA,1989,57.00791,-172.01541
sea pen,Pennatulacea,NA,-999,NA,-999,Live,10.6,NA,1989,36.78058,-121.83036
sea pen,Pennatulacea,NA,-999,NA,-999,NA,3.5,NA,1989,56.32241,-170.64733
sea pen,Pennatulidae,NA,-999,NA,-999,Live,7.0,Monterey Bay,1989,36.69747,-121.99993
sea pen,Pennatulacea,NA,-999,NA,-999,NA,4.9,NA,1989,45.053,-124.82867
sea pen,Pennatulidae,NA,-999,NA,-999,Live,9.6,Monterey Bay,1989,36.78539,-121.82706
sea pen,Pennatulacea,NA,-999,NA,-999,NA,5.9,off Oregon coast,1989,44.85992,-124.8725
sea pen,Stylatula sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.6063,-122.01009
sea pen,Pennatulacea,NA,-999,NA,-999,NA,-999.0,NA,1989,48.92525,-122.96541
sea pen,Calibelemnon symmetricum,symmetricum,-999,NA,-999,Live,-999.0,Hawaiian Archipelago; Cross Seamount,1989,18.72167,-158.24667
sea pen,Pennatulacea,NA,-999,NA,-999,NA,-999.0,NA,1989,48.89234,-123.083
sea pen,Stylatula sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.6063,-122.00783
sea pen,Pennatulacea,NA,-999,NA,-999,NA,4.8,NA,1989,45.21766,-124.77133
sea pen,Pennatulacea,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Alenuihaha Channel",1989,20.58833,-156.07
sea pen,Pennatulacea,NA,-999,NA,-999,NA,4.2,NA,1989,45.08,-124.91433
sea pen,Pennatulidae,NA,-999,NA,-999,Live,9.6,Monterey Bay,1989,36.78541,-121.82702
sea pen,Pennatulacea,NA,-999,NA,-999,NA,5.1,NA,1989,45.17975,-124.673
sea pen,Stylatula sp.,NA,-999,NA,-999,Live,-999.0,Monterey Bay,1989,36.60631,-122.00788
sea pen,Pennatulacea,NA,-999,NA,-999,NA,-999.0,NA,1989,48.52133,-122.582
