VernacularNameCategory,ScientificName,Species,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Locality,ObservationYear,latitude,longitude
,,,,,,,,,,degrees_north,degrees_east
black coral,Stichopathes spiessi,spiessi,1,NA,-999,Live,-999.0,"Fieberling Guyot, West Of Channel Islands",1991,32.3903,-127.7417
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Loihi",1991,18.90883,-155.265
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Loihi",1991,18.90883,-155.265
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Loihi",1991,18.90883,-155.265
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Loihi",1991,18.90883,-155.265
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, Loihi",1991,18.90883,-155.265
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1991,18.785,-155.71667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1991,18.81667,-155.71667
black coral,Stichopathes sp.,NA,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Molokai Island, Penguin Bank",1991,20.75,-157.67867
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,30,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.73,-123.12
stony coral (cup coral),Balanophyllia sp.,NA,21,NA,-999,NA,-999.0,Moluccas,1991,8.0,132.98
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,8,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.72,-123.1
stony coral (cup coral),Balanophyllia sp.,NA,1,NA,-999,NA,-999.0,Moluccas,1991,8.02,132.85
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,10,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.75,-123.07
stony coral (cup coral),Paracyathus sp.,NA,3,NA,-999,NA,-999.0,Moluccas,1991,8.0,132.98
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,6,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.7,-123.05
stony coral (cup coral),Leptopsammia sp.,NA,1,NA,-999,NA,-999.0,Moluccas,1991,8.0,132.98
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,15,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.72,-123.12
stony coral (cup coral),Balanophyllia sp.,NA,1,NA,-999,NA,-999.0,Moluccas,1991,8.97,132.1
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,1,NA,-999,Live,-999.0,West Of Southern California,1991,34.77,-123.1
stony coral (branching),Enallopsammia rostrata,rostrata,-999,NA,-999,Live,-999.0,"Main Hawaiian Islands; Hawaii Island, South Pt",1991,18.785,-155.71667
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,3,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.77,-123.1
stony coral (cup coral),Balanophyllia sp.,NA,3,NA,-999,NA,-999.0,"Banda Sea, Kai Islands, Kur Island, Approx. 25 Km North Of",1991,5.43,132.63
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,2,NA,-999,Live,-999.0,West Of Southern California,1991,34.75,-123.12
stony coral (cup coral),Balanophyllia sp.,NA,15,NA,-999,NA,-999.0,Moluccas,1991,8.02,132.85
stony coral (cup coral),Fungiacyathus (Bathyactis) marenzelleri,marenzelleri,5,NA,-999,Live,-999.0,off California: West of Channel Islands,1991,34.75,-123.12
stony coral (cup coral),Paracyathus sp.,NA,12,NA,-999,NA,-999.0,"Banda Sea, Kai Islands, Kur Island, Approx. 25 Km North Of",1991,5.43,132.63
stony coral (unspecified),Scleractinia,NA,-999,NA,-999,Live,5.6,NA,1991,36.78531,-122.04191
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70147,-122.01375
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.6995,-122.01117
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,6.6,NA,1991,36.69665,-122.00284
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,4.7,Monterey Bay,1991,36.75744,-122.04702
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.69929,-122.0105
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.69967,-122.01112
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,NA,1991,36.70096,-122.01113
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70145,-122.01372
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70129,-122.0136
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.7,-122.01092
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70121,-122.01239
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70144,-122.01424
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70134,-122.01347
stony coral (unspecified),Caryophylliidae,NA,-999,NA,-999,Live,-999.0,Monterey Canyon,1991,36.70141,-122.01373
