BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2000 11 28 02 2000 12 02 03 26.30   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 02 03 2000 12 05 02 26.30   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 05 02 2000 12 09 02 26.10  -0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 09 02 2000 12 12 03 26.20  -0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 12 03 2000 12 16 02 26.20  -0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 16 02 2000 12 19 00 26.20  -0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 19 00 2000 12 23 02 26.40  -0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 23 02 2000 12 26 03 26.30  -0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 26 03 2000 12 30 02 26.90  -0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2000 12 30 02 2000 12 31 23 26.40  -0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 01 01 13 2001 01 06 03 26.30  -1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 01 06 03 2001 01 09 02 26.40  -0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 01 13 03 2001 01 16 02 26.90  -0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 01 16 02 2001 01 20 03 26.80  -0.80   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 01 20 03 2001 01 23 02 27.10  -0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 01 23 02 2001 01 27 02 26.70  -1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
