BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2000 11 28 02 2000 12 02 03 28.90  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 02 03 2000 12 05 02 28.90   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 05 02 2000 12 09 02 28.70  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 09 02 2000 12 12 03 28.30  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 12 03 2000 12 16 02 28.60  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 16 02 2000 12 19 00 28.60  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 19 00 2000 12 23 02 28.70   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 23 02 2000 12 26 03 28.30  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 26 03 2000 12 30 02 28.40  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2000 12 30 02 2000 12 31 23 28.30  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 01 13 2001 01 06 03 28.30  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 06 03 2001 01 09 02 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 13 03 2001 01 16 02 27.60  -0.90   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 16 02 2001 01 20 03 28.00  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 20 03 2001 01 23 02 28.20  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 23 02 2001 01 27 02 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 27 02 2001 01 30 03 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 01 30 03 2001 02 03 02 28.20  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 03 02 2001 02 06 03 28.20  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 06 03 2001 02 10 02 27.80  -0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 10 02 2001 02 13 02 27.80  -0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 13 02 2001 02 17 02 27.90  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 17 02 2001 02 20 02 27.80  -0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 20 18 2001 02 23 23 28.50   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 23 23 2001 02 27 00 28.50   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 02 27 00 2001 03 02 23 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 02 23 2001 03 05 23 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 05 23 2001 03 10 00 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 10 00 2001 03 12 23 28.50   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 12 23 2001 03 16 23 28.40  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 16 23 2001 03 20 00 28.50   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 20 00 2001 03 23 23 28.40  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 23 23 2001 03 27 00 28.40  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 27 00 2001 03 31 00 28.80   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 03 31 00 2001 04 02 23 28.30  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 02 23 2001 04 07 00 28.10  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 07 00 2001 04 10 00 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 10 00 2001 04 13 23 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 13 23 2001 04 17 00 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 17 00 2001 04 20 23 28.70   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 20 23 2001 04 23 23 28.70   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 23 23 2001 04 28 00 28.70   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 28 00 2001 04 30 23 28.50  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 04 30 23 2001 05 05 00 28.50  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 05 00 2001 05 08 00 28.50  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 08 00 2001 05 11 23 28.40  -0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 11 23 2001 05 15 00 28.30  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 15 00 2001 05 19 00 28.40  -0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 19 00 2001 05 21 23 28.60  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 21 23 2001 05 26 00 28.50  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 26 00 2001 05 28 23 28.70  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 05 28 23 2001 06 02 00 28.70  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 02 00 2001 06 05 00 28.70  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 05 00 2001 06 08 23 29.00   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 08 23 2001 06 12 00 29.00   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 12 00 2001 06 16 00 29.00   0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 16 00 2001 06 18 23 28.80  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 18 23 2001 06 23 00 28.80  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 23 00 2001 06 26 00 28.50  -0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 26 00 2001 06 29 23 28.70  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 06 29 23 2001 07 03 00 28.70  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 03 00 2001 07 06 23 29.30   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 06 23 2001 07 09 23 29.10   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 09 23 2001 07 14 00 29.10   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 14 00 2001 07 16 23 29.30   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 16 23 2001 07 21 00 29.60   0.60   0.30  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 21 00 2001 07 24 00 29.80   0.80   0.50  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 24 00 2001 07 27 23 29.40   0.30   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 27 23 2001 07 30 23 29.40   0.30   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2001 07 30 23 2001 08 04 00 29.20   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 04 00 2001 08 06 23 29.20   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 06 23 2001 08 11 00 29.20   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 11 00 2001 08 13 23 29.40   0.10   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 13 23 2001 08 18 00 29.60   0.30   0.30  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 18 00 2001 08 21 07 29.60   0.30   0.30  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 21 07 2001 08 24 23 29.30   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 24 23 2001 08 28 00 29.60   0.30   0.30  0.00   5.5  168.5 Namorik, Marshall Islands
2001 08 28 00 2001 09 01 00 29.90   0.60   0.60  0.00   5.5  168.5 Namorik, Marshall Islands
2001 09 01 00 2001 09 03 23 29.70   0.40   0.40  0.00   5.5  168.5 Namorik, Marshall Islands
2001 09 03 23 2001 09 08 00 30.10   0.80   0.80  0.00   5.5  168.5 Namorik, Marshall Islands
2001 09 08 00 2001 09 10 23 30.30   1.00   1.00  0.50   5.5  168.5 Namorik, Marshall Islands
2001 09 10 23 2001 09 14 23 29.80   0.50   0.50  0.50   5.5  168.5 Namorik, Marshall Islands
2001 09 14 23 2001 09 18 00 29.80   0.50   0.50  0.50   5.5  168.5 Namorik, Marshall Islands
2001 09 18 00 2001 09 21 23 30.20   0.90   0.90  0.50   5.5  168.5 Namorik, Marshall Islands
2001 09 21 23 2001 09 24 23 29.90   0.60   0.60  0.50   5.5  168.5 Namorik, Marshall Islands
2001 09 24 23 2001 09 28 23 29.90   0.60   0.60  0.50   5.5  168.5 Namorik, Marshall Islands
2001 09 28 23 2001 10 01 23 29.60   0.30   0.30  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 01 23 2001 10 06 00 29.80   0.50   0.50  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 06 00 2001 10 08 23 29.80   0.50   0.50  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 08 23 2001 10 12 23 29.70   0.40   0.40  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 12 23 2001 10 16 00 29.70   0.40   0.40  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 16 00 2001 10 19 23 29.80   0.50   0.50  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 19 23 2001 10 22 22 29.90   0.60   0.60  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 22 22 2001 10 26 23 29.90   0.60   0.60  0.50   5.5  168.5 Namorik, Marshall Islands
2001 10 26 23 2001 10 29 23 29.70   0.40   0.40  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 05 11 2001 11 05 23 29.50   0.20   0.20  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 05 23 2001 11 09 23 29.60   0.30   0.30  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 09 23 2001 11 13 00 29.70   0.40   0.40  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 13 00 2001 11 16 23 29.60   0.30   0.30  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 16 23 2001 11 19 23 29.40   0.20   0.10  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 19 23 2001 11 24 00 29.40   0.30   0.10  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 24 00 2001 11 26 23 29.70   0.60   0.40  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 26 23 2001 11 30 22 29.50   0.50   0.20  0.50   5.5  168.5 Namorik, Marshall Islands
2001 11 30 22 2001 12 04 00 29.50   0.60   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 04 00 2001 12 07 23 29.40   0.60   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 07 23 2001 12 11 00 29.50   0.70   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 11 00 2001 12 14 23 29.50   0.80   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 14 23 2001 12 17 23 29.40   0.70   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 17 23 2001 12 22 00 29.40   0.70   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 22 00 2001 12 24 23 29.50   0.90   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 24 23 2001 12 29 00 29.50   0.90   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2001 12 29 00 2002 01 01 00 29.50   0.90   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 01 00 2002 01 04 23 29.00   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 04 23 2002 01 08 00 29.00   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 08 00 2002 01 11 23 28.30  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 11 23 2002 01 14 23 28.40  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 14 23 2002 01 19 00 29.10   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 19 00 2002 01 21 23 28.70   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 21 23 2002 01 26 00 28.40  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 26 00 2002 01 29 00 28.40  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 01 29 00 2002 02 01 23 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 02 01 23 2002 02 05 00 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 02 05 00 2002 02 08 23 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 02 08 23 2002 02 11 23 28.90   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 02 11 23 2002 02 16 00 28.90   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 02 16 00 2002 02 18 23 28.80   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 02 23 00 2002 02 26 00 29.00   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 03 08 23 2002 03 11 23 29.30   0.80   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
